"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1977-10-19 21.93 "SEA" "@" "GSW" "L" -32 0 14 0.375 NA NA NA NA NA NA NA NA NA NA NA 2.1 NA
"2" "2" 1977-10-21 21.93 "SEA" "" "POR" "L" -7 0 3 1 NA NA NA NA NA NA NA NA NA NA NA 4 NA
"3" "3" 1977-10-23 21.94 "SEA" "" "SAS" "L" -18 0 15 0 NA NA NA NA NA NA NA NA NA NA NA -4 NA
"4" "4" 1977-10-25 21.95 "SEA" "@" "PHO" "L" -7 0 7 0 NA NA NA NA NA NA NA NA NA NA NA -2.8 NA
"5" "5" 1977-10-26 21.95 "SEA" "" "BUF" "W" 5 0 7 0.568 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1977-10-29 21.96 "SEA" "@" "CHI" "L" -4 0 5 0 NA NA NA NA NA NA NA NA NA NA NA -1.1 NA
"7" "7" 1977-10-30 21.96 "SEA" "@" "MIL" "L" -13 0 11 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1977-11-01 21.96 "SEA" "@" "ATL" "L" -3 0 12 0.665 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1977-11-02 21.97 "SEA" "@" "IND" "W" 2 0 17 0.571 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1977-11-04 21.97 "SEA" "" "NYK" "L" -3 0 13 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1977-11-05 21.98 "SEA" "@" "POR" "L" -22 0 14 0.564 NA NA NA NA NA NA NA NA NA NA NA 4.4 NA
"12" "12" 1977-11-06 21.98 "SEA" "" "KCK" "L" -16 0 27 0.517 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1977-11-11 21.99 "SEA" "" "IND" "W" 6 0 22 0.652 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1977-11-13 22 "SEA" "" "NOJ" "W" 34 0 18 0.904 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1977-11-15 22 "SEA" "@" "WSB" "L" -2 0 22 0.526 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1977-11-16 22.01 "SEA" "@" "PHI" "L" -5 0 18 0.901 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1977-11-17 22.01 "SEA" "@" "NOJ" "L" -11 0 30 0.709 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1977-11-20 22.02 "SEA" "" "CLE" "L" -7 0 24 0.41 NA NA NA NA NA NA NA NA NA NA NA 2.7 NA
"19" "19" 1977-11-23 22.02 "SEA" "" "LAL" "W" 24 0 23 0.349 NA NA NA NA NA NA NA NA NA NA NA 4.2 NA
"20" "20" 1977-11-25 22.03 "SEA" "" "CHI" "L" -17 0 34 0.313 NA NA NA NA NA NA NA NA NA NA NA 7 NA
"21" "21" 1977-11-27 22.04 "SEA" "" "NJN" "L" -3 0 34 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1977-11-29 22.04 "SEA" "@" "DEN" "L" -16 1 25 0.444 NA NA NA NA NA NA NA NA NA NA NA 1.8 NA
"23" "23" 1977-11-30 22.04 "SEA" "@" "KCK" "W" 2 0 21 0.34 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1977-12-02 22.05 "SEA" "@" "BOS" "W" 22 1 22 0.481 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1977-12-03 22.05 "SEA" "@" "BUF" "W" 7 1 29 0.576 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1977-12-05 22.06 "SEA" "" "ATL" "W" 11 1 26 0.193 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1977-12-09 22.07 "SEA" "" "MIL" "W" 13 1 41 0.779 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1977-12-11 22.07 "SEA" "" "HOU" "W" 32 1 26 0.492 NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1977-12-13 22.08 "SEA" "@" "CLE" "L" -12 1 32 0.543 NA NA NA NA NA NA NA NA NA NA NA 8.8 NA
"30" "30" 1977-12-14 22.08 "SEA" "@" "DET" "W" 10 1 18 0.307 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1977-12-16 22.09 "SEA" "@" "LAL" "W" 8 1 20 0.727 NA NA NA NA NA NA NA NA NA NA NA 2.2 NA
"32" "32" 1977-12-18 22.09 "SEA" "" "WSB" "W" 2 1 36 0.504 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1977-12-20 22.1 "SEA" "" "DEN" "W" 5 1 23 0.333 NA NA NA NA NA NA NA NA NA NA NA 2.8 NA
"34" "34" 1977-12-22 22.1 "SEA" "" "BOS" "W" 33 1 31 0.581 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1977-12-25 22.11 "SEA" "" "LAL" "L" -15 1 27 0.454 NA NA NA NA NA NA NA NA NA NA NA 8.4 NA
"36" "36" 1977-12-27 22.12 "SEA" "@" "PHO" "L" -26 1 39 0.55 NA NA NA NA NA NA NA NA NA NA NA 7.5 NA
"37" "37" 1977-12-30 22.13 "SEA" "" "PHO" "W" 11 1 24 0.506 NA NA NA NA NA NA NA NA NA NA NA 10.8 NA
"38" "38" 1978-01-01 22.13 "SEA" "" "CHI" "W" 18 1 31 0.2 NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1978-01-04 22.14 "SEA" "" "KCK" "W" 6 1 31 0.518 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1978-01-08 22.15 "SEA" "" "GSW" "W" 8 1 25 0.651 NA NA NA NA NA NA NA NA NA NA NA 10 NA
"41" "41" 1978-01-11 22.16 "SEA" "" "DET" "W" 6 1 19 0.34 NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1978-01-13 22.16 "SEA" "" "CLE" "W" 6 1 26 0.444 NA NA NA NA NA NA NA NA NA NA NA 9.8 NA
"43" "43" 1978-01-15 22.17 "SEA" "" "NYK" "W" 6 1 27 0.421 NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1978-01-17 22.18 "SEA" "@" "SAS" "L" -6 1 33 0.63 NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1978-01-18 22.18 "SEA" "@" "HOU" "W" 2 1 33 0.34 NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1978-01-22 22.19 "SEA" "@" "BOS" "W" 11 1 38 0.512 NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1978-01-25 22.2 "SEA" "" "PHI" "L" -3 1 41 0.579 NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1978-01-27 22.2 "SEA" "" "NJN" "W" 5 1 39 0.539 NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1978-01-29 22.21 "SEA" "" "MIL" "W" 2 1 21 0.524 NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1978-02-08 22.24 "SEA" "" "WSB" "L" -6 1 28 0.595 NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1978-02-10 22.24 "SEA" "" "DEN" "W" 3 1 21 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1978-02-12 22.25 "SEA" "@" "PHI" "L" -10 1 29 0.263 NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "53" 1978-02-14 22.25 "SEA" "@" "BUF" "L" -1 1 31 0.317 NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "54" 1978-02-16 22.26 "SEA" "@" "NJN" "L" -9 1 35 0.553 NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "55" 1978-02-17 22.26 "SEA" "@" "CHI" "W" 8 1 31 0.949 NA NA NA NA NA NA NA NA NA NA NA 11.1 NA
"56" "56" 1978-02-19 22.27 "SEA" "@" "MIL" "W" 5 1 23 0.429 NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "57" 1978-02-21 22.27 "SEA" "@" "NYK" "L" -2 1 36 0.581 NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "58" 1978-02-22 22.27 "SEA" "@" "NJN" "W" 11 1 22 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "59" 1978-02-25 22.28 "SEA" "" "DET" "W" 14 1 33 0.547 NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "60" 1978-02-26 22.28 "SEA" "" "PHI" "W" 2 1 21 0.517 NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "61" 1978-02-28 22.29 "SEA" "@" "KCK" "W" 7 1 42 0.554 NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "62" 1978-03-03 22.3 "SEA" "@" "IND" "L" -4 1 29 0.607 NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "63" 1978-03-04 22.3 "SEA" "@" "NOJ" "L" -9 1 32 0.504 NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "64" 1978-03-05 22.3 "SEA" "@" "ATL" "L" -7 1 45 0.581 NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "65" 1978-03-08 22.31 "SEA" "@" "SAS" "W" 1 1 30 0.221 NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "66" 1978-03-11 22.32 "SEA" "@" "HOU" "W" 2 1 41 0.551 NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "67" 1978-03-14 22.33 "SEA" "@" "WSB" "L" -5 1 33 0.357 NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "68" 1978-03-16 22.33 "SEA" "" "NOJ" "W" 25 1 37 0.444 NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "69" 1978-03-17 22.34 "SEA" "@" "LAL" "W" 7 1 22 0.571 NA NA NA NA NA NA NA NA NA NA NA 2.2 NA
"70" "70" 1978-03-19 22.34 "SEA" "" "SAS" "W" 18 1 27 0.666 NA NA NA NA NA NA NA NA NA NA NA NA NA
"71" "71" 1978-03-21 22.35 "SEA" "@" "POR" "L" -6 1 36 0.55 NA NA NA NA NA NA NA NA NA NA NA 15.3 NA
"72" "72" 1978-03-22 22.35 "SEA" "" "BUF" "W" 5 1 44 0.29 NA NA NA NA NA NA NA NA NA NA NA NA NA
"73" "73" 1978-03-24 22.36 "SEA" "" "IND" "W" 2 1 45 0.647 NA NA NA NA NA NA NA NA NA NA NA NA NA
"74" "74" 1978-03-26 22.36 "SEA" "" "BOS" "W" 11 1 41 0.504 NA NA NA NA NA NA NA NA NA NA NA NA NA
"75" "75" 1978-03-28 22.37 "SEA" "@" "CLE" "L" -12 1 27 0.546 NA NA NA NA NA NA NA NA NA NA NA 12.7 NA
"76" "76" 1978-03-29 22.37 "SEA" "@" "DET" "L" -5 1 36 0.723 NA NA NA NA NA NA NA NA NA NA NA NA NA
"77" "77" 1978-03-31 22.38 "SEA" "@" "DEN" "W" 2 1 33 0.44 NA NA NA NA NA NA NA NA NA NA NA 10.8 NA
"78" "78" 1978-04-02 22.38 "SEA" "" "POR" "W" 15 1 29 0.557 NA NA NA NA NA NA NA NA NA NA NA 7.8 NA
"79" "79" 1978-04-05 22.39 "SEA" "" "HOU" "W" 13 1 33 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"80" "80" 1978-04-07 22.39 "SEA" "" "PHO" "W" 12 1 37 0.526 NA NA NA NA NA NA NA NA NA NA NA 14.5 NA
"81" "81" 1978-04-08 22.4 "SEA" "@" "GSW" "L" -15 1 31 0.663 NA NA NA NA NA NA NA NA NA NA NA 11.3 NA
"82" "82" 1978-04-09 22.4 "SEA" "" "GSW" "W" 6 1 31 0.533 NA NA NA NA NA NA NA NA NA NA NA 11.1 NA
"1" "1" 1978-10-13 22.91 "SEA" "" "CHI" "W" 18 1 29 0.253 NA NA NA NA NA NA NA NA NA NA NA 7.3 NA
"2" "2" 1978-10-15 22.92 "SEA" "" "KCK" "W" 10 1 22 0.82 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1978-10-17 22.92 "SEA" "@" "NYK" "W" 11 1 29 0.509 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1978-10-18 22.93 "SEA" "@" "IND" "W" 7 1 35 0.514 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1978-10-20 22.93 "SEA" "" "SAS" "W" 16 1 26 0.134 NA NA NA NA NA NA NA NA NA NA NA -4.9 NA
"6" "6" 1978-10-25 22.95 "SEA" "" "WSB" "W" 29 1 23 0.254 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1978-10-27 22.95 "SEA" "" "MIL" "W" 1 1 41 0.56 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1978-10-29 22.96 "SEA" "@" "SDC" "L" -3 1 37 0.658 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1978-11-02 22.97 "SEA" "@" "DET" "W" 1 1 34 0.74 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1978-11-03 22.97 "SEA" "@" "NJN" "W" 21 1 30 0.47 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1978-11-08 22.98 "SEA" "" "NYK" "L" -4 1 39 0.335 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1978-11-10 22.99 "SEA" "" "CLE" "W" 14 1 41 0.589 NA NA NA NA NA NA NA NA NA NA NA 12.9 NA
"13" "13" 1978-11-15 23 "SEA" "" "NOJ" "W" 17 1 30 0.625 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1978-11-17 23.01 "SEA" "" "IND" "W" 11 1 21 0.84 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1978-11-18 23.01 "SEA" "@" "GSW" "L" -8 1 40 0.455 NA NA NA NA NA NA NA NA NA NA NA 8 NA
"16" "16" 1978-11-19 23.01 "SEA" "" "POR" "W" 3 1 43 0.514 NA NA NA NA NA NA NA NA NA NA NA 13.3 NA
"17" "17" 1978-11-22 23.02 "SEA" "" "CHI" "W" 2 1 37 0.648 NA NA NA NA NA NA NA NA NA NA NA 16.8 NA
"18" "18" 1978-11-24 23.03 "SEA" "" "DEN" "L" -3 1 36 0.599 NA NA NA NA NA NA NA NA NA NA NA 18.5 NA
"19" "19" 1978-11-25 23.03 "SEA" "@" "DEN" "W" 6 1 35 0.595 NA NA NA NA NA NA NA NA NA NA NA 20.9 NA
"20" "20" 1978-11-26 23.03 "SEA" "" "HOU" "L" -5 1 37 0.254 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1978-11-29 23.04 "SEA" "" "NJN" "W" 14 1 33 0.843 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1978-12-01 23.05 "SEA" "@" "BOS" "L" -7 1 40 0.556 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1978-12-02 23.05 "SEA" "@" "PHI" "W" 3 1 43 0.647 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1978-12-08 23.07 "SEA" "" "ATL" "W" 1 1 33 0.641 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1978-12-10 23.07 "SEA" "" "SAS" "W" 13 1 38 0.586 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1978-12-13 23.08 "SEA" "" "LAL" "W" 10 1 42 0.349 NA NA NA NA NA NA NA NA NA NA NA 9.9 NA
"27" "27" 1978-12-15 23.08 "SEA" "@" "LAL" "L" -2 1 48 0.653 NA NA NA NA NA NA NA NA NA NA NA 15.9 NA
"28" "28" 1978-12-17 23.09 "SEA" "@" "CLE" "L" -10 1 42 0.35 NA NA NA NA NA NA NA NA NA NA NA 13.9 NA
"29" "29" 1978-12-19 23.1 "SEA" "@" "MIL" "L" -29 1 28 0.218 NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1978-12-20 23.1 "SEA" "@" "KCK" "L" -19 1 31 0.446 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1978-12-22 23.1 "SEA" "" "PHI" "L" -8 1 44 0.536 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1978-12-25 23.11 "SEA" "" "SDC" "L" -5 1 44 0.576 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1978-12-27 23.12 "SEA" "" "NOJ" "W" 19 1 36 0.654 NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1978-12-29 23.12 "SEA" "" "PHO" "W" 27 1 36 0.696 NA NA NA NA NA NA NA NA NA NA NA 16.2 NA
"35" "35" 1979-01-01 23.13 "SEA" "" "GSW" "L" -13 1 38 0.535 NA NA NA NA NA NA NA NA NA NA NA 10.5 NA
"36" "36" 1979-01-02 23.13 "SEA" "@" "POR" "W" 1 1 30 0.475 NA NA NA NA NA NA NA NA NA NA NA 15.1 NA
"37" "37" 1979-01-03 23.14 "SEA" "" "BOS" "W" 7 1 40 0.671 NA NA NA NA NA NA NA NA NA NA NA 21.4 NA
"38" "38" 1979-01-05 23.14 "SEA" "" "DEN" "L" -3 1 46 0.521 NA NA NA NA NA NA NA NA NA NA NA 18.6 NA
"39" "39" 1979-01-10 23.16 "SEA" "" "IND" "W" 20 1 31 0.713 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1979-01-11 23.16 "SEA" "@" "PHO" "W" 3 1 26 0.429 NA NA NA NA NA NA NA NA NA NA NA 5.5 NA
"41" "41" 1979-01-14 23.17 "SEA" "" "LAL" "L" -9 1 44 0.235 NA NA NA NA NA NA NA NA NA NA NA -0.6 NA
"42" "42" 1979-01-17 23.18 "SEA" "@" "IND" "W" 10 1 37 0.563 NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1979-01-20 23.18 "SEA" "@" "CHI" "W" 6 1 34 0.615 NA NA NA NA NA NA NA NA NA NA NA 9.6 NA
"44" "44" 1979-01-23 23.19 "SEA" "@" "WSB" "W" 3 1 32 0.432 NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1979-01-25 23.2 "SEA" "@" "ATL" "W" 2 1 44 0.568 NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1979-01-26 23.2 "SEA" "@" "SAS" "L" -17 1 35 0.599 NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1979-01-27 23.2 "SEA" "@" "HOU" "W" 5 1 42 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1979-01-31 23.21 "SEA" "" "POR" "W" 3 1 43 0.635 NA NA NA NA NA NA NA NA NA NA NA 19.4 NA
"49" "49" 1979-02-01 23.22 "SEA" "" "NJN" "W" 5 1 42 0.724 NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1979-02-02 23.22 "SEA" "" "MIL" "W" 2 1 40 0.449 NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1979-02-06 23.23 "SEA" "@" "NYK" "L" -9 1 37 0.46 NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1979-02-07 23.23 "SEA" "@" "BOS" "L" -7 1 31 0.215 NA NA NA NA NA NA NA NA NA NA NA -1.9 NA
"53" "53" 1979-02-09 23.24 "SEA" "@" "MIL" "L" -2 1 45 0.455 NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "54" 1979-02-10 23.24 "SEA" "@" "HOU" "L" -12 1 40 0.687 NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "55" 1979-02-14 23.25 "SEA" "" "ATL" "W" 12 1 33 0.656 NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "56" 1979-02-16 23.26 "SEA" "" "PHO" "W" 15 1 35 0.624 NA NA NA NA NA NA NA NA NA NA NA 17.2 NA
"57" "57" 1979-02-18 23.26 "SEA" "" "WSB" "L" -11 1 32 0.298 NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "58" 1979-02-20 23.27 "SEA" "@" "SAS" "L" -16 1 36 0.503 NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "59" 1979-02-21 23.27 "SEA" "@" "NOJ" "W" 2 1 42 0.414 NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "60" 1979-02-23 23.28 "SEA" "@" "WSB" "L" -22 1 34 0.378 NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "61" 1979-02-25 23.28 "SEA" "@" "KCK" "L" -8 1 39 0.597 NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "62" 1979-02-27 23.29 "SEA" "@" "DEN" "L" -15 1 27 0.489 NA NA NA NA NA NA NA NA NA NA NA 8.2 NA
"63" "63" 1979-02-28 23.29 "SEA" "" "PHI" "W" 4 1 45 0.428 NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "64" 1979-03-02 23.3 "SEA" "" "CLE" "L" -2 1 42 0.656 NA NA NA NA NA NA NA NA NA NA NA 23.1 NA
"65" "65" 1979-03-04 23.3 "SEA" "" "HOU" "W" 10 1 36 0.639 NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "66" 1979-03-07 23.31 "SEA" "@" "DET" "W" 6 1 39 0.396 NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "67" 1979-03-09 23.32 "SEA" "@" "NJN" "W" 8 1 37 0.523 NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "68" 1979-03-11 23.32 "SEA" "@" "ATL" "L" -2 1 43 0.479 NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "69" 1979-03-14 23.33 "SEA" "@" "PHI" "W" 3 1 36 0.378 NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" "70" 1979-03-15 23.33 "SEA" "@" "CLE" "W" 6 1 36 0.509 NA NA NA NA NA NA NA NA NA NA NA 13.2 NA
"71" "71" 1979-03-17 23.34 "SEA" "@" "CHI" "W" 18 1 25 0.633 NA NA NA NA NA NA NA NA NA NA NA 12.5 NA
"72" "72" 1979-03-22 23.35 "SEA" "" "BOS" "W" 2 1 39 0.525 NA NA NA NA NA NA NA NA NA NA NA 21.9 NA
"73" "73" 1979-03-25 23.36 "SEA" "" "KCK" "W" 10 1 35 0.495 NA NA NA NA NA NA NA NA NA NA NA NA NA
"74" "74" 1979-03-27 23.36 "SEA" "" "SDC" "W" 6 1 34 0.509 NA NA NA NA NA NA NA NA NA NA NA NA NA
"75" "75" 1979-03-28 23.37 "SEA" "" "NYK" "W" 6 1 35 0.735 NA NA NA NA NA NA NA NA NA NA NA NA NA
"76" "76" 1979-03-30 23.37 "SEA" "@" "PHO" "L" -2 1 29 0.504 NA NA NA NA NA NA NA NA NA NA NA 9.2 NA
"77" "77" 1979-03-31 23.38 "SEA" "" "DET" "W" 21 1 24 0.767 NA NA NA NA NA NA NA NA NA NA NA NA NA
"78" "78" 1979-04-01 23.38 "SEA" "" "GSW" "W" 5 1 36 0.589 NA NA NA NA NA NA NA NA NA NA NA 16.2 NA
"79" "79" 1979-04-03 23.38 "SEA" "@" "POR" "L" -4 1 41 0.575 NA NA NA NA NA NA NA NA NA NA NA 16.4 NA
"80" "80" 1979-04-04 23.39 "SEA" "@" "SDC" "W" 8 1 41 0.539 NA NA NA NA NA NA NA NA NA NA NA NA NA
"81" "81" 1979-04-06 23.39 "SEA" "@" "LAL" "W" 20 1 38 0.588 NA NA NA NA NA NA NA NA NA NA NA 12.1 NA
"82" "82" 1979-04-08 23.4 "SEA" "@" "GSW" "L" -3 1 23 0.512 NA NA NA NA NA NA NA NA NA NA NA 5 NA
"1" "1" 1979-10-14 23.92 "SEA" "@" "SDC" "L" -5 1 39 0.333 0.333 NA NA NA NA NA NA NA NA NA NA 11.2 NA
"2" "2" 1979-10-16 23.92 "SEA" "@" "PHO" "L" -16 1 22 0.479 0.5 NA NA NA NA NA NA NA NA NA NA 4.6 NA
"3" "3" 1979-10-17 23.92 "SEA" "" "LAL" "W" 2 1 38 0.501 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1979-10-19 23.93 "SEA" "" "SDC" "W" 8 1 35 0.654 0.611 NA NA NA NA NA NA NA NA NA NA 22.3 NA
"5" "5" 1979-10-21 23.93 "SEA" "@" "LAL" "L" -9 1 38 0.751 0.75 NA NA NA NA NA NA NA NA NA NA 25.4 NA
"6" "6" 1979-10-24 23.94 "SEA" "" "KCK" "W" 13 1 27 0.705 0.727 NA NA NA NA NA NA NA NA NA NA 14.7 NA
"7" "7" 1979-10-26 23.95 "SEA" "" "PHO" "L" -6 1 39 0.273 0.273 NA NA NA NA NA NA NA NA NA NA 5.5 NA
"8" "8" 1979-10-27 23.95 "SEA" "@" "SDC" "L" -5 1 30 0.457 0.429 NA NA NA NA NA NA NA NA NA NA 11.8 NA
"9" "9" 1979-10-28 23.95 "SEA" "" "CHI" "W" 11 1 43 0.538 0.5 NA NA NA NA NA NA NA NA NA NA 19.2 NA
"10" "10" 1979-10-31 23.96 "SEA" "" "DEN" "W" 8 1 39 0.498 0.4 NA NA NA NA NA NA NA NA NA NA 16.4 NA
"11" "11" 1979-11-02 23.97 "SEA" "" "SAS" "W" 10 1 36 0.295 0.273 NA NA NA NA NA NA NA NA NA NA 10.1 NA
"12" "12" 1979-11-04 23.97 "SEA" "@" "MIL" "W" 13 1 32 0.67 0.556 NA NA NA NA NA NA NA NA NA NA 19.5 NA
"13" "13" 1979-11-06 23.98 "SEA" "@" "CHI" "W" 17 1 27 0.686 0.625 NA NA NA NA NA NA NA NA NA NA 8.7 NA
"14" "14" 1979-11-07 23.98 "SEA" "@" "DEN" "L" -21 1 25 0.225 0.25 NA NA NA NA NA NA NA NA NA NA 1.9 NA
"15" "15" 1979-11-10 23.99 "SEA" "@" "UTA" "W" 1 1 28 0.581 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1979-11-14 24 "SEA" "" "MIL" "W" 19 1 31 0.56 0.529 NA NA NA NA NA NA NA NA NA NA 21 NA
"17" "17" 1979-11-16 24.01 "SEA" "" "CLE" "W" 8 1 39 0.597 0.533 NA NA NA NA NA NA NA NA NA NA 15.8 NA
"18" "18" 1979-11-17 24.01 "SEA" "@" "GSW" "W" 5 1 40 0.585 0.5 NA NA NA NA NA NA NA NA NA NA 19.5 NA
"19" "19" 1979-11-18 24.01 "SEA" "@" "POR" "L" -5 1 32 0.272 0.25 NA NA NA NA NA NA NA NA NA NA -0.6 NA
"20" "20" 1979-11-21 24.02 "SEA" "" "LAL" "W" 9 1 38 0.444 0.444 NA NA NA NA NA NA NA NA NA NA 8.3 NA
"21" "21" 1979-11-23 24.02 "SEA" "" "POR" "W" 4 1 36 0.644 0.615 NA NA NA NA NA NA NA NA NA NA 12.6 NA
"22" "22" 1979-11-28 24.04 "SEA" "" "PHO" "W" 11 1 33 0.794 0.778 NA NA NA NA NA NA NA NA NA NA 11.7 NA
"23" "23" 1979-11-30 24.04 "SEA" "@" "KCK" "W" 5 1 34 0.395 0.167 NA NA NA NA NA NA NA NA NA NA 10.9 NA
"24" "24" 1979-12-01 24.05 "SEA" "@" "UTA" "L" -2 1 31 0.424 0.308 NA NA NA NA NA NA NA NA NA NA 12.4 NA
"25" "25" 1979-12-02 24.05 "SEA" "" "GSW" "W" 13 1 29 0.597 0.6 NA NA NA NA NA NA NA NA NA NA 12.8 NA
"26" "26" 1979-12-05 24.06 "SEA" "" "UTA" "W" 19 1 32 0.571 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
